,Punto,Cluster,Latitud,Longitud
35526,2.2217E+16,4,6.17459187,-75.57091293
35530,2.2217E+16,4,6.17413636,-75.57031825
35806,2.2217E+16,1,6.17459187,-75.57091293
35807,2.2217E+16,1,6.17413636,-75.57031825
35826,2.2217E+16,4,6.17459187,-75.57091293
35827,2.2217E+16,4,6.17413636,-75.57031825
36266,2.2217E+16,1,6.17459187,-75.57091293
36286,2.2217E+16,4,6.17459187,-75.57091293
36946,2.2217E+16,4,6.17459187,-75.57091293
36947,2.2217E+16,4,6.17413636,-75.57031825
36986,2.2217E+16,1,6.17459187,-75.57091293
36987,2.2217E+16,1,6.17413636,-75.57031825
37286,2.2217E+16,4,6.17413636,-75.57031825
37287,2.2217E+16,4,6.17459187,-75.57091293
37341,2.2217E+16,4,6.17442296,-75.57065629
37349,2.2217E+16,1,6.17442296,-75.57065629
37889,2.2217E+16,4,6.17442296,-75.57065629
37905,2.2217E+16,4,6.17442296,-75.57065629
37938,2.2217E+16,4,6.17459187,-75.57091293
37946,2.2217E+16,4,6.17459187,-75.57091293
37954,2.2217E+16,4,6.17459187,-75.57091293
37970,2.2217E+16,4,6.17459187,-75.57091293
37994,2.2217E+16,1,6.17459187,-75.57091293
38006,2.2217E+16,4,6.17459187,-75.57091293
38014,2.2217E+16,1,6.17459187,-75.57091293
38046,2.2217E+16,4,6.17459187,-75.57091293
38058,2.2217E+16,1,6.17459187,-75.57091293
38130,2.2217E+16,4,6.17459187,-75.57091293
38242,2.2217E+16,1,6.17459187,-75.57091293
38322,2.2217E+16,4,6.17459187,-75.57091293
38349,2.2217E+16,4,6.17459187,-75.57091293
38653,2.2217E+16,1,6.17459187,-75.57091293
38668,2.2217E+16,4,6.17459187,-75.57091293
39223,2.2217E+16,4,6.17459187,-75.57091293
39628,2.2217E+16,4,6.17459187,-75.57091293
39648,2.2217E+16,1,6.17459187,-75.57091293
39698,2.2217E+16,4,6.17459187,-75.57091293
